repo,type,link,package,severity
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/27,golang.org/x/net,medium
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/26,golang.org/x/crypto,high
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/25,golang.org/x/net,medium
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/22,github.com/quic-go/quic-go,medium
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/20,github.com/gin-contrib/cors,critical
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/18,github.com/quic-go/quic-go,high
multiversx/mx-chain-go,dependabot,https://github.com/multiversx/mx-chain-go/security/dependabot/16,github.com/quic-go/quic-go,medium
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-j494-7x2v-vvvp,,high
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-7xpv-4pm9-xch2,,high
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-p228-4mrh-ww7r,,medium
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-mv8x-668m-53fg,,medium
multiversx/mx-chain-go,advisory,https://github.com/multiversx/mx-chain-go/security/advisories/GHSA-qf7j-25g9-r63f,,critical
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/21,,medium
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/20,,medium
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/19,,medium
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/18,,medium
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/17,,critical
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/16,,critical
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/14,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/13,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/12,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/11,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/10,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/9,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/8,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/7,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/6,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/5,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/4,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/3,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/2,,high
multiversx/mx-chain-go,code_scanning,https://github.com/multiversx/mx-chain-go/security/code-scanning/1,,high
